"ID","EnterpriseEntryID","DefinitionSetID","Entry","EntryCode","EntryName","EntryMnemonic","IsInactiveFLAG","IsEnforcedFLAG","IsCurrentFLAG","EffectiveDT","SexDE"
"0","0","0","0","","","","0","0","0","1996-9-21T12:10:00","0"
"4218","331555","0","674","27.55","FTG TO LIP & MOUTH","2755","0","1","1","1999-1-21T12:41:35","0"
"4444","331781","0","900","36.15","1 INT MAM-COR ART BYPASS","3615","0","1","1","1999-1-21T12:42:08","0"
"4433","331770","0","889","36.02","1 PTCA/ATHERECT W TL","3602","0","1","1","1999-1-21T12:42:07","0"
"4432","331769","0","888","36.01","1 PTCA/ATHERECT W/O TL","3601","0","1","1","1999-1-21T12:42:07","0"
"4445","331782","0","901","36.16","2 INT MAM-COR ART BYPASS","3616","0","1","1","1999-1-21T12:42:09","0"
"4013","331350","0","469","16.65","2ND EXENT CAVITY GRAFT","1665","0","1","1","1999-1-21T12:41:04","0"
"3940","331277","0","396","13.72","2ND INSERT PROSTH LENS","1372","0","1","1","1999-1-21T12:40:53","0"
"4009","331346","0","465","16.61","2ND OCULAR IMPL INSERT","1661","0","1","1","1999-1-21T12:41:03","0"
"4015","331352","0","471","16.69","2ND OP POST EYE RMVL NEC","1669","0","1","1","1999-1-21T12:41:04","0"
"4538","331875","0","994","38.44","ABD AORTA RESECT W REPL","3844","0","1","1","1999-1-21T12:44:14","0"
"6428","333765","0","2884","88.47","ABD ARTERIOGRAM NEC","8847","0","1","1","1999-1-21T12:48:56","0"
"4540","331877","0","996","38.46","ABD ARTERY RESECT W REPL","3846","0","1","1","1999-1-21T12:44:14","0"
"6445","333782","0","2901","88.65","ABD CONTR PHLEBOGRAM NEC","8865","0","1","1","1999-1-21T12:48:59","0"
"5068","332405","0","1524","53.69","ABD HERNIA REP-GRFT NEC","5369","0","1","1","1999-1-21T12:45:33","0"
"5083","332420","0","1539","54.29","ABD REGION DXTIC PX NEC","5429","0","1","1","1999-1-21T12:45:36","0"
"5069","332406","0","1525","53.7","ABD REP-DIAPH HERNIA","537","0","1","1","1999-1-21T12:45:33","0"
"4531","331868","0","987","38.37","ABD VEIN RESECT & ANAST","3837","0","1","1","1999-1-21T12:44:12","0"
"4541","331878","0","997","38.47","ABD VEIN RESECT W REPL","3847","0","1","1","1999-1-21T12:44:14","0"
"4530","331867","0","986","38.36","ABD VESSEL RESECT/ANAST","3836","0","1","1","1999-1-21T12:44:12","0"
"4549","331886","0","1005","38.57","ABD VV LIG&STRIP","3857","0","1","1","1999-1-21T12:44:15","0"
"5066","332403","0","1522","53.59","ABD WALL HERNIA REP NEC","5359","0","1","1","1999-1-21T12:45:33","0"
"5079","332416","0","1535","54.22","ABD WALL OR UMBILICUS BX","5422","0","1","1","1999-1-21T12:45:35","0"
"6395","333732","0","2851","88.09","ABD WALL SFT TISS X-RAY","8809","0","1","1","1999-1-21T12:48:51","0"
"5090","332427","0","1546","54.63","ABD WALL SUTURE NEC","5463","0","1","1","1999-1-21T12:45:37","0"
"4446","331783","0","902","36.17","ABD-CORONARY ART BYPASS","3617","0","1","1","1999-1-21T12:42:09","0"
"4886","332223","0","1342","48.5","ABD-PERINEAL RECT RESECT","485","0","1","1","1999-1-21T12:45:05","0"
"5105","332442","0","1561","54.99","ABDOMEN REGION OPS NEC","5499","0","1","1","1999-1-21T12:45:39","0"
"5093","332430","0","1549","54.72","ABDOMEN WALL REPAIR NEC","5472","0","1","1","1999-1-21T12:45:37","0"
"4509","331846","0","965","38.06","ABDOMINAL ART INCISION","3806","0","1","1","1999-1-21T12:44:09","0"
"4519","331856","0","975","38.16","ABDOMINAL ENDARTERECTOMY","3816","0","1","1","1999-1-21T12:44:10","0"
"6394","333731","0","2850","88.04","ABDOMINAL LYMPHANGIOGRAM","8804","0","1","1","1999-1-21T12:48:51","0"
"4897","332234","0","1353","48.75","ABDOMINAL PROCTOPEXY","4875","0","1","1","1999-1-21T12:45:07","0"
"6392","333729","0","2848","88.02","ABDOMINAL TOMOGRAPHY NEC","8802","0","1","1","1999-1-21T12:48:51","0"
"4510","331847","0","966","38.07","ABDOMINAL VEIN INCISION","3807","0","1","1","1999-1-21T12:44:09","0"
"5074","332411","0","1530","54.0","ABDOMINAL WALL INCISION","540","0","1","1","1999-1-21T12:45:34","0"
"6393","333730","0","2849","88.03","ABDOMINAL WALL SINOGRAM","8803","0","1","1","1999-1-21T12:48:51","0"
"6402","333739","0","2858","88.19","ABDOMINAL X-RAY NEC","8819","0","1","1","1999-1-21T12:48:52","0"
"6204","333541","0","2660","84.17","ABOVE KNEE AMPUTATION","8417","0","1","1","1999-1-21T12:48:23","0"
"3648","330985","0","104","04.73","ACCESS-HYPOGLOSSAL ANAST","0473","0","1","1","1999-1-21T12:40:07","0"
"3647","330984","0","103","04.72","ACCESSORY-FACIAL ANAST","0472","0","1","1","1999-1-21T12:40:07","0"
"6139","333476","0","2595","83.11","ACHILLOTENOTOMY","8311","0","1","1","1999-1-21T12:48:12","0"
"6140","333477","0","2596","83.12","ADDUCTOR TENOTOMY OF HIP","8312","0","1","1","1999-1-21T12:48:13","0"
"4240","331577","0","696","28.6","ADENOIDECTOMY","286","0","1","1","1999-1-21T12:41:39","0"
"6178","333515","0","2634","83.91","ADHESIO MUSC/TEND/FASC","8391","0","1","1","1999-1-21T12:48:19","0"
"5398","332735","0","1854","65.89","ADHESIO OV/FALL TUBE NEC","6589","0","1","1","1999-1-21T12:46:23","0"
"3770","331107","0","226","08.59","ADJUST LID POSITION NEC","0859","0","1","1","1999-1-21T12:40:27","0"
