"ID","EnterpriseEntryID","DefinitionSetID","Entry","EntryCode","EntryName","EntryMnemonic","IsInactiveFLAG","IsEnforcedFLAG","IsCurrentFLAG","EffectiveDT","HighAge","LowAge","SexDE","DisplayName","InjuryTypeReqFLAG"
"0","0","0","0","","","","0","0","0","1996-9-21T12:10:00",0,0,"0","","0"
"39150","852474","0","26431","764.04","""LIGHT-FOR-DATES""W/O MENTION OF FETAL MALNUTRITION, 1,000-1,249 GRAMS.","764.04","0","0","1","2006-6-27T16:09:12",0,0,"0","""LIGHT-FOR-DATES""W/O MENTION OF FETAL MALNUTRITION, 1,000-1,249 GRAMS.","0"
"39151","852475","0","26432","764.05","""LIGHT-FOR-DATES""W/O MENTION OF FETAL MALNUTRITION, 1,250-1,499 GRAMS.","764.05","0","0","1","2006-6-27T16:09:12",0,0,"0","""LIGHT-FOR-DATES""W/O MENTION OF FETAL MALNUTRITION, 1,250-1,499 GRAMS.","0"
"39152","852476","0","26433","764.06","""LIGHT-FOR-DATES""W/O MENTION OF FETAL MALNUTRITION, 1,500-1,749 GRAMS.","764.06","0","0","1","2006-6-27T16:09:12",0,0,"0","""LIGHT-FOR-DATES""W/O MENTION OF FETAL MALNUTRITION, 1,500-1,749 GRAMS.","0"
"39153","852477","0","26434","764.07","""LIGHT-FOR-DATES""W/O MENTION OF FETAL MALNUTRITION, 1,750-1,999 GRAMS.","764.07","0","0","1","2006-6-27T16:09:12",0,0,"0","""LIGHT-FOR-DATES""W/O MENTION OF FETAL MALNUTRITION, 1,750-1,999 GRAMS.","0"
"39154","852478","0","26435","764.08","""LIGHT-FOR-DATES""W/O MENTION OF FETAL MALNUTRITION, 2,000-2,499 GRAMS.","764.08","0","0","1","2006-6-27T16:09:12",0,0,"0","""LIGHT-FOR-DATES""W/O MENTION OF FETAL MALNUTRITION, 2,000-2,499 GRAMS.","0"
"39155","852479","0","26436","764.09","""LIGHT-FOR-DATES""W/O MENTION OF FETAL MALNUTRITION, 2,500+ GRAMS.","764.09","0","0","1","2006-6-27T16:09:13",0,0,"0","""LIGHT-FOR-DATES""W/O MENTION OF FETAL MALNUTRITION, 2,500+ GRAMS.","0"
"39148","852472","0","26429","764.02","""LIGHT-FOR-DATES""W/O MENTION OF FETAL MALNUTRITION, 500-749 GRAMS.","764.02","0","0","1","2006-6-27T16:09:11",0,0,"0","""LIGHT-FOR-DATES""W/O MENTION OF FETAL MALNUTRITION, 500-749 GRAMS.","0"
"39149","852473","0","26430","764.03","""LIGHT-FOR-DATES""W/O MENTION OF FETAL MALNUTRITION, 750-999 GRAMS.","764.03","0","0","1","2006-6-27T16:09:11",0,0,"0","""LIGHT-FOR-DATES""W/O MENTION OF FETAL MALNUTRITION, 750-999 GRAMS.","0"
"39147","852471","0","26428","764.01","""LIGHT-FOR-DATES""W/O MENTION OF FETAL MALNUTRITION, LESS THAN 500 GRAMS.","764.01","0","0","1","2006-6-27T16:09:11",0,0,"0","""LIGHT-FOR-DATES""W/O MENTION OF FETAL MALNUTRITION, LESS THAN 500 GRAMS.","0"
"39146","852470","0","26427","764.00","""LIGHT-FOR-DATES""W/O MENTION OF FETAL MALNUTRITION, UNSPECIFIED [WEIGHT].","764.00","0","0","1","2006-6-27T16:09:11",0,0,"0","""LIGHT-FOR-DATES""W/O MENTION OF FETAL MALNUTRITION, UNSPECIFIED [WEIGHT].","0"
"39161","852485","0","26442","764.15","""LIGHT-FOR-DATES""WITH SIGNS OF FETAL MALNUTRITION, 1,250-1,499 GRAMS.","764.15","0","0","1","2006-6-27T16:09:14",0,0,"0","""LIGHT-FOR-DATES""WITH SIGNS OF FETAL MALNUTRITION, 1,250-1,499 GRAMS.","0"
"39162","852486","0","26443","764.16","""LIGHT-FOR-DATES""WITH SIGNS OF FETAL MALNUTRITION, 1,500-1,749 GRAMS.","764.16","0","0","1","2006-6-27T16:09:14",0,0,"0","""LIGHT-FOR-DATES""WITH SIGNS OF FETAL MALNUTRITION, 1,500-1,749 GRAMS.","0"
"39163","852487","0","26444","764.17","""LIGHT-FOR-DATES""WITH SIGNS OF FETAL MALNUTRITION, 1,750-1,999 GRAMS.","764.17","0","0","1","2006-6-27T16:09:14",0,0,"0","""LIGHT-FOR-DATES""WITH SIGNS OF FETAL MALNUTRITION, 1,750-1,999 GRAMS.","0"
"39164","852488","0","26445","764.18","""LIGHT-FOR-DATES""WITH SIGNS OF FETAL MALNUTRITION, 2,000-2,499 GRAMS.","764.18","0","0","1","2006-6-27T16:09:14",0,0,"0","""LIGHT-FOR-DATES""WITH SIGNS OF FETAL MALNUTRITION, 2,000-2,499 GRAMS.","0"
